Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Academy of Management Annals,Academy of Management,1503,A*,1941-6520,1941-6067,https://aom.org/research/journals/annals,1,Education
Academy of Management Journal,Academy of Management,1503,A*,0001-4273,1948-0989,https://aom.org/research/journals/journal,1,Education
Academy of Management Learning and Education,Academy of Management,1503,A*,1537-260X,1944-9585,,1,Education
Academy of Management Review,Academy of Management ,1503,A*,0363-7425,1930-3807,,1,Education
Accident Analysis and Prevention,Elsevier,1507,A*,0001-4575,1879-2057,,1,
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,1501,A*,0951-3574,1758-4205,,1,
"Accounting, Organizations and Society",Elsevier,1501,A*,0361-3682,1873-6289,,1,
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,806,A*,1073-0516,1557-7325,,1,Information Systems
Administrative Science Quarterly,Sage Publications,1503,A*,0001-8392,1930-3815,,1,Education
Advances in Experimental Social Psychology,Elsevier,1503,A*,0065-2601,1557-8410,,1,Education
American Economic Journal: Applied Economics,American Economic Association,1402,A*,1945-7782,1945-7790,,1,
American Economic Journal: Economic Policy,American Economic Association,1402,A*,1945-7731,1945-774x,,1,
American Economic Journal: Macroeconomics,American Economic Association,1402,A*,1945-7707,1945-7715,,1,
American Economic Journal: Microeconomics,American Economic Association,1402,A*,1945-7669,1945-7685,,1,
American Economic Review: Insights,American Economic Association,1402,A*,2640-205X,2640-2068,,1,
American Journal of Agricultural Economics,Oxford University Press,1402,A*,0002-9092,1467-8276,,1,
American Journal of Political Science,Wiley-Blackwell Publishing,1599,A*,0092-5853,1540-5907,,1,
American Journal of Public Health,The American Public Health Association,1503,A*,0090-0036,1541-0048,,1,Education
American Journal of Sociology,The University of Chicago Press,1503,A*,0002-9602,1537-5390,,1,Education
American Political Science Review,Cambridge University Press,1599,A*,0003-0554,1537-5943,,1,
American Psychologist,American Psychological Association,1503,A*,0003-066X,1935-990X,,1,Education
American Sociological Review,Sage Publications,1503,A*,0003-1224,1939-8271,,1,Education
Annals of Probability,Institute of Mathematical Statistics,104,A*,0091-1798,2168-894X,,1,
Annals of Statistics,Project Euclid,104,A*,0090-5364,,,1,
Annals of Tourism Research,Elsevier,1506,A*,0160-7383,1873-7722,,1,
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,1503,A*,2327-0616,,,1,Education
Annual Review of Psychology,Annual Reviews,1503,A*,0066-4308,1545-2085,,1,Education
Annual Review of Sociology,Annual Reviews,1503,A*,0360-0572,1545-2115,,1,Education
Auditing: A Journal of Practice and Theory,American Accounting Association,1501,A*,0278-0380,1558-7991,,1,
Australian Tax Forum,Tax Institute,180125,A*,0812-695X,,,1,
Automation in Construction,Elsevier,1504,A*,0926-5805,1872-7891,,1,
Biometrika,Oxford University Press,104,A*,0006-3444,1464-3510,,1,
Boston University Law Review,Boston University School of Law,180105,A*,0006-8047,,,1,
British Accounting Review,Elsevier,1501,A*,0890-8389,1095-8347,,1,
British Journal of Industrial Relations,Wiley-Blackwell Publishing,1503,A*,0007-1080,1467-8543,,1,Education
British Tax Review,Sweet & Maxwell,180125,A*,0007-1870,,,1,
Cambridge Law Journal,Cambridge University Press,180105,A*,0008-1973,1469-2139,,1,
Canadian Tax Journal,Canadian Tax Foundation,180125,A*,0008-5111,,,1,
Columbia Law Review,"Columbia Law Review Association, Inc.",180105,A*,0010-1958,1945-2268,,1,
Contemporary Accounting Research,Wiley-Blackwell Publishing,1501,A*,0823-9150,1911-3846,,1,
Cornell Law Review,Cornell Law School,180105,A*,0010-8847,,,1,
Critical Finance Review,Now Publishers,1502,A*,2164-5744,2164-5760,,1,
Decision Sciences,Wiley-Blackwell Publishing,1503,A*,0011-7315,1540-5915,,1,Education
Decision Support Systems,Elsevier,806,A*,0167-9236,1873-5797,,1,Information Systems
Econometric Theory,Cambridge University Press,1403,A*,0266-4666,1469-4360,,1,
Econometrica,Wiley-Blackwell Publishing,1403,A*,0012-9682,1468-0262,,1,
Economic Theory,Springer International Publishing,1401,A*,0938-2259,1432-0479,,1,
Energy Economics,Elsevier,1402,A*,0140-9883,1873-6181,,1,
Entrepreneurship Theory and Practice,Sage Publications,1503,A*,1042-2587,1540-6520,,1,Education
Environment and Planning A: Economy and space,Sage Publications,1599,A*,0308-518X,1472-3409,,1,
Environment and Planning B: Planning and design,Sage Publications,1599,A*,0265-8135,1472-3417,,1,
European Economic Review,Elsevier,1402,A*,0014-2921,1873-572X,http://www.journals.elsevier.com/european-economic-review,1,
European Journal of Information Systems,Taylor & Francis Online,806,A*,0960-085X,1476-9344,,1,Information Systems
European Journal of Marketing,Emerald Group Publishing,1505,A*,0309-0566,1758-7123,http://www.emeraldinsight.com/loi/ejm,1,
European Journal of Operational Research,Elsevier,1503,A*,0377-2217,1872-6860,http://www.journals.elsevier.com/european-journal-of-operational-research,1,Education
Experimental Economics,Springer International Publishing,1402,A*,1386-4157,1573-6938,http://www.springerlink.com/,1,
Federal Law Review,Australian National University,180105,A*,0067-205X,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0067-205X,1,
Foreign Affairs,Council on Foreign Relations,1599,A*,0015-7120,1665-1707,https://www.foreignaffairs.com,1,
